kalimat,kelas
Perang sipil akhirnya dimenangkan oleh pihak utara.,other
Sehingga membuat pihak selatan akhirnya harus tunduk dibawah kepemimpinan Lincoln.,nama
Pada tahun 1864  Abraham Lincoln dipilih kembali menjadi presiden Amerika Serikat.,nama
Dalam merencanakan perdamaian Presiden Abraham Lincoln bersifat fleksibel dan bermurah hati.,nama
Semangat menjadi pedomannya jelas serupa dengan semangat pidato pelantikannya yang kedua.,other
Baca juga : .,other
Abraham Lincoln adalah Presiden Amerika Serikat yang ke-16  menjabat sejak 4 Maret 1861 dan menjadi Presiden di Amerika Serikat sebanyak 2 kali hingga terjadi peristiwa pembunuhannya.,nama
Saat sedang menyaksikan teater bersama istrinya di teater Ford  Washington  Amerika Serikat.,other
Presiden Lincoln ditembak oleh seorang bernama John Wilkes Booth  pada 14 April 1865 dan meninggal keesokan harinya tanggal 15 April 1865 pada usia 56 tahun.,nama
Pembunuhnya  John Wilkes Booth adalah pemain sandiwara yang memiliki gangguan jiwa  ia juga salah seorang pendukung Konfederasi yang menentang diserahkannya tentara Konfederasi kepada pemerintah setelah berakhirnya perang saudara.,other
Beberapa klaim berlimpah bahwa kesehatan Lincoln menurun sebelum pembunuhan itu.,nama
Ini seringkali didasarkan pada foto-foto muncul untuk menunjukkan penurunan berat badan dan wasting otot.,other
Salah satu klaim tersebut adalah bahwa ia menderita gangguan genetik langka MEN2b  yang memanifestasikan dengan karsinoma tiroid meduler  neuroma mukosa dan penampilan Marfinoid.,other
Presiden Lincoln dimakamkan di Springfield  AS dan dikenang Amerika dan dunia sebagai pejuang demokrasi karena jasa-jasanya.,nama
Post under : ### Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Affandi Koesoema Maestro Seni Lukis - Biografi Tokoh Dunia Lengkap.,nama
Biografi Affandi Koesoema Maestro Seni Lukis.,nama
Biografi Affandi Koesoema Maestro Seni Lukis.,nama
Affandi Koesoema�adalah seorang pelukis yang berbakat yang pernah dimiliki oleh Indonesia.,nama
Ia dikenal sebagai Maestro Seni Lukis dengan gaya abstrak dan romantisme.,other
Selain berbakat  ia juga produktif dalam melukis  tercatat sepanjang hidupnya ia telah menciptakan kurang lebih 2.000 karya lukis.,other
Karya-karyanya telah dipamerkan di berbagai belahan dunia seperti; Inggris  Amsterdam  dan India.,other
Affandi lahir pada tahun 1907 di Cirebon  Jawa Barat.,ttl
Ayahnya bernama R. Koesoema  seorang mantri ukur di pabrik gula di Ciledug  Cirebon.,other
(maaf untuk tanggal lahirnya  kami tidak menemukan referensi yang menuliskan mengenai tanggal lahirnya hanya menuliskan tahun lahir-nya).,other
Affandi menerima pendidikan formal yang cukup tinggi  ia bersekolah di Hollandsch Inlandsche School (HIS)  Meer Uitgebreid Lager Onderwijs (MULO)  dan Algemeene Middelbare School (AMS) merupakan sekolah yang tinggi pada masa kolonial Belanda hanya segelintir anak negeri yang dapat pendidikan seperti itu.,pendidikan
Sebelum masuk dalam dunia seni lukis  Affandi menjadi guru dan pernah bekerja sebagai tukang sobek karcis dan pembuat gambar reklame disalah satu gedung bioskop di Bandung.,other
Pekerjaan ini tidak lama digeluti karena ia lebih tertarik pada bidang seni lukis.,other
Bakat seni lukisnya sangat kental sehingga mengalahkan ilmu-ilmu lainnya yang ada dalam kehidupannya.,other
Pada tahun 1933 saat berumur 26 tahun  ia menikah dengan seorang gadis yang berasal dari Bogor  yaitu Maryati.,other
Mereka dikaruniai seorang putri yang diberi nama Kartika Affandi.,other
Affandi bergabung dalam kelompok Lima Pelukis Bandung.,nama
Mereka itu adalah Hendra Gunawan  Barli  Sudarso  dan Wahdi serta Affandi yang dipercaya menjabat sebagai pimpinan kelompok.,other
Kelompok ini memiliki andil yang cukup besar dalam perkembangan seni rupa di Indonesia.,other
Pada tahun 1943  Affandi mengadakan pameran tunggal pertamanya di Gedung Poetera Djakarta yang pada saat itu sedang berlangsung pendudukan tentara Jepang di Indonesia.,nama
Empat Serangkai yang terdiri dari       dan Kyai Haji Mas Mansyur  memimpin Seksi Kebudayaan Poetera (Poesat Tenaga Rakyat) untuk ikut ambil bagian.,other
Pada saat proklamasi tahun 1945  banyak pelukis ambil bagian.,other
"Salah satunya adalah menulis sebuah kata ""Merdeka atau mati""�yang ditulis pada gerbong-gerbong kereta dan tembok-tembok.",other
Affandi mendapat tugas membuat sebuah poster yang menggambarkan seorang yang dirantai  tapi rantainya telah putus.,nama
"Kata-kata yang dituliskan pada poster tersebut adalah ""Boeng  ayo boeng"" yang merupakan usulan dari .",other
Berkat bakat melukisnya yang bagus  Affandi mendapatkan beasiswa kuliah pada jurusan melukis di Santiniketan  India.,pendidikan
Namun saat tiba di India  ia ditolak dengan alasan bahwa ia dinilai sudah tidak memerlukan pendidikan dalam seni lukis.,other
Akhirnya ia menggunakan biaya beasiswanya tersebut untuk mengadakan pameran keliling India.,other
Sepulang dari India  pada tahun 1950-an  Affandi dicalonkan oleh PKI untuk mewakili orang-orang yang tidak berpartai dalam pemilihan Konstituante.,other
Dan terpilihlah ia  seperti Prof. Ir.,other
Saloekoe Poerbodiningrat dsb  untuk mewakili orang-orang yang tidak berpartai.,other
Hal yang dibahas oleh Affandi adalah mengenai perikebinatangan  bukan perikemanusiaan.,nama
Ia merupakan seorang pelukis yang dekat dengan flora  fauna  dan lingkungan itulah sebabnya ia membahas mengenai perikebinatangan.,other
Pada tahun 1955  saat ia mempersoalkan perikebintangan  kesadaran masyarakat terhadap lingkungan hidup masih sangat rendah.,other
Affandi juga termasuk pimpinan pusat Lekra (Lembaga Kebudayaan Rakyat)  organisasi kebudayaan terbesar yang dibubarkan oleh rezim Suharto.,other
Ia juga bagian dari Lembaga Seni Rupa bersama Basuki Resobowo  Henk Ngantung  dan sebagainya.,other
Pada tahun 1960-an  gerakan anti imperialis AS sedang mengagresi Vietnam cukup gencar.,other
Juga anti kebudayaan AS yang disebut sebagai 'kebudayaan imperialis'.,other
Film-film Amerika  diboikot di negeri ini.,other
Waktu itu Affandi mendapat undangan untuk pameran di gedung USIS Jakarta.,nama
Dan Affandi pun  mengadakan pameran di sana.,nama
Sepanjang hidupnya  Affandi telah menghasilkan kurang lebih 2.000 karya lukis.,nama
Karya-karyanya dipamerkan ke berbagai negara di dunia  baik di benua Asia  benua Eropa  maupun benua Amerika.,other
Saat melukis ia mengelola warna untuk mengekspresikan apa yang ia lihat dan rasakan tentang sesuatu  ia juga lebih sering menumpahkan langsung cairan cat dari tubenya kemudian menyapu cat tersebut dengan jari-jarinya.,other
Untuk mendekatkan dan memperkenalkan karya-karyanya kepada para pecinta seni lukis  Affandi sering mengadakan pameran di berbagai tempat.,other
Salah satunya di negara India  ia telah mengadakan pameran keliling ke berbagai kota.,other
Demikian juga di berbagai negara di Eropa  Amerika serta Australia.,other
Di Eropa  ia telah mengadakan pameran antara lain di London  Amsterdam  Brussels  Paris dan Roma.,other
Begitu juga di negara-negara benua Amerika seperti di Brazilia  Venezia  San Paulo  dan Amerika Serikat.,other
Hal demikian jugalah yang membuat namanya dikenal di berbagai belahan dunia.,other
Salah satu karya lukis dari Affandi dapat Anda lihat di bawah ini  lukisan ini diberi judul Para Pejuang 1972.,nama
Sumber:�http://hiburan.dbagus.com/lukisan-affandi-dan-keterangannya-yang-fenomenal Dalam perjalanannya berkarya ia dikenal sebagai seorang pelukis yang menganut aliran ekspresionisme atau abstrak.,other
Sehingga seringkali lukisannya sangat sulit dimengerti oleh orang lain terutama oleh orang yang awam tentang dunia seni lukis jika tanpa penjelasannya.,other
Namun bagi pecinta lukisan hal demikianlah yang menambah daya tariknya.,other
Kesederhanannya dalam melukis pernah terlihat ketika kritisi Barat menanyakan konsep dan teori lukisannya.,other
Oleh para kritisi Barat  lukisan Affandi dianggap memberikan corak baru aliran ekspresionisme  namun ketika itu justru Affandi balik bertanya  aliran apa itu ?,nama
Bahkan  dalam keseharian  ia sering mengatakan bahwa dirinya adalah pelukis kerbau.,other
Mungkin karena kerbau adalah binatang yang dianggap dungu dan bodoh.,other
Sikap sang maestro yang tidak gemar berteori dan lebih suka bekerja secara nyata ini dibuktikan dengan kesungguhan dirinya menjalankan profesi sebagai pelukis yang tidak cuma musiman pameran.,other
Bahkan terhadap bidang yang dipilihnya  ia tidak overacting.,other
Dalam memperkenalkan karya-karyanya  yaitu melalui pameran.,other
Berikut ini beberapa pameran yang pernah diselenggarakan oleh Affandi; Museum of Modern Art (Rio de Janeiro  Brazil  1966) East-West Center (Honolulu  1988) Festival of Indonesia (AS  1990-1992) Gate Foundation (Amsterdam  Belanda  1993) Singapore Art Museum (1994) Centre for Strategic and International Studies (Jakarta  1996) Indonesia-Japan Friendship Festival (Morioka  Tokyo  1997) ASEAN Masterworks (Selangor  Kuala Lumpur  Malaysia  1997-1998) Pada tahun 1977  Affandi mendapat hadiah perdamaian dari International Dag Hammershjoeld.,other
Menjadi anggota Akademi Hak-hak Azasi Manusia yang diangkat oleh Komite Pusat Diplomatic Academy of Peace PAX MUNDI di Castelo San Marzano  Florence  Italia.,other
"Pada tahun 1978  Pemerintah Republik Indonesia memberikan penghargaan kepada Affandi  yaitu ""Bintang Jasa Utama"".",other
Dan sejak tahun 1986  ia diangkat menjadi Anggota Dewan Penyantun ISI (Institut Seni Indonesia) di Wakil Presiden Republik Indonesia tahun 1972-1978 di Yogyakarta.,other
Pada tahun 1976  Prix International Dag Hammerskjoeld menerbitkan sebuah buku kenang-kenangan tentang Affandi.,other
Buku dengan tebal 189 halaman lebih itu diterbitkan dalam 4 bahasa  yaitu dalam bahasa Inggris  Belanda  Perancis  dan Indonesia.,other
Demikian juga Penerbitan Yayasan Kanisius  telah menerbitkan sebuah buku tentang Affandi karya Nugraha Sumaatmadja pada tahun 1975.,other
Sebuah museum yang diresmikan oleh Fuad Hassan.,other
Museum ini menyimpan hasil karya lukis Affandi.,nama
Museum ini didirikan tahun 1973 di atas tanah yang menjadi tempat tinggalnya �yang terletak di Jalan Laksda Adisucipto  Yogyakarta.,other
Sumber:�https://id.wikipedia.org/wiki/Museum_Affandi Terdapat sekitar 1.000-an lebih lukisan di Museum Affandi  dan 300-an di antaranya adalah karya Affandi.,other
Lukisan-lukisan Affandi yang dipajang di galeri I adalah karya restropektif yang punya nilai kesejarahan mulai dari awal kariernya hingga selesai  sehingga tidak dijual.,other
Galeri II adalah lukisan teman-teman Affandi  baik yang masih hidup maupun yang sudah meninggal seperti Basuki Abdullah  Popo Iskandar  Hendra  Rusli  Fajar Sidik  dan lain-lain.,other
Adapun galeri III berisi lukisan-lukisan keluarga Affandi.,nama
Galeri III  saat ini terpajang lukisan-lukisan terbaru Kartika Affandi yang dibuat pada tahun 1999.,other
Lukisan itu antara lain Apa yang Harus Kuperbuat�(Januari 1999)  Apa Salahku?,other
Mengapa ini Harus Terjadi�(Februari 1999)  Tidak Adil (Juni 1999)  Kembali Pada Realita Kehidupan  Semuanya Kuserahkan KepadaNya�(Juli 1999).,other
Ada pula lukisan Maryati  Rukmini Yusuf  serta Juki Affandi.,other
Affandi merupakan salah satu pelukis besar Indonesia bersama pelukis besar lainnya seperti Basuki Abdullah  Raden Saleh dan lain-lain.,other
Namun karena berbagai keistimewaan dala karya-karyanya  para pengagumnya sampai menganugerahinya berbagai sebutan dan julukan Koran International Herald Tribune yang menjulukinya sebagai Pelukis Ekspressionis Baru Indonesia sementara di Florence  Italia dia telah diberi gelar Grand Maestro.,other
Bagi Affandi  melukis adalah bekerja.,nama
Ia melukis seperti orang lapar.,other
Sampai pada kesan elitis soal sebutan pelukis  ia hanya ingin disebut sebagai tukang gambar.,other
Lebih jauh ia berdalih bahwa dirinya tidak cukup punya kepribadian besar untuk disebut seniman  dan ia tidak meletakkan kesenian di atas kepentingan keluarga.,other
Affandi tetap menggeluti profesi sebagai pelukis hingga ia meninggal pada Mei 1990.,nama
Ia di makamkan tidak jauh dari museum yang didirikannya tersebut.,other
Informasi biografi di atas ini kami sadur dari berbagai sumber  namun kami tidak menjamin akan kebenarannya.,other
Jika ada kesalahan atau kekurangan dalam penulisan atau informasi yang kami sampaikan di atas kami mohon maaf dan berharap agar Anda bisa membetulkannya melalui kotak komentar atau bisa menghubungi kami melalui email kami.,other
Terima kasih.,other
Post under : ## Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Thomas Alva Edison Penemu Bola Lampu - Biografi Tokoh Dunia Lengkap.,nama
Biografi Thomas Alva Edison Penemu Bola Lampu.,nama
Biografi Thomas Alva Edison Penemu Bola Lampu.,nama
"Thomas Alva Edison adalah salah satu tokoh yang memberikan banyak kontribusi bagi kehidupan di dunia ini  ia banyak mengembangkan banyak peralatan yang dibutuhkan di dunia ini salah satunya benda yang ia temukan adalah bola lampu ""Terbitnya Matahari di Malam Hari"".",nama
Penemuannya tersebut sebagai benda terpenting yang pernah ditemukan dalam sejarah umat manusia.,other
Berkat penemuannya tersebut  manusia dapat beraktivitas pada malam hari selayaknya beraktivtas pada siang hari.,other
Thomas Alva Edison �ini merupakan salah seorang penemu pertama yang menerapkan prinsip produksi massal pada proses penemuan.,nama
Nama Lengkap : Thomas Alva Edison.,nama
Tanggal Lahir : 11 Februari 1847.,ttl
Tempat Lahir : Milan  Ohio  A.S. Agama : Deis (butuh rujukan.,ttl
Orang tua : Samuel Odgen Edison (ayah)  dan Nancy Matthews Elliot (ibu).,other
Kewarganegaraan : Amerika Serikat.,other
Thomas Alva lahir di Milan  Ohio  Amerika Serikat pada tanggal 11 Februari 1847.,ttl
Masa kecilnya di Amerika Serikat  Thomas selalu mendapat nilai buruk di sekolahnya.,nama
Pihak dari sekolah memperingati orang tua Thomas  bahwa anaknya tidak bisa belajar di sekolah  dan juga Thomas termasuk murid yang sering tertinggal dari teman sebaya sekolahnya.,other
Nilainya yang buruk tersebut membuat ibunya memberhentikannya dari sekolah  kebetulan ibunya juga berprofesi sebagai seorang guru  dan akhirnya mengajarinya sendiri di rumah.,other
Di rumah Thomas belajar membaca buku-buku ilmiah dewasa dan mulai mengadakan berbagai percobaan ilmiah sendiri.,other
Pada saat berusia 12 tahun  Thomas sudah memiliki laboratorium kimia kecil di ruang bawah tanah rumah ayahnya.,other
Setahun kemudian dia berhasil membuat telegraf yang sekalipun bentuk dan modelnya sederhana dan primitif tapi sudah bisa berfungsi.,other
Pada usia tersebut ia juga sudah bekerja sebagai penjual koran  buah-buahan  dan gula-gula di kereta api selama beberapa tahun.,other
Pada tahun 1861  pecahlah perang saudara antar negara bagian utara dan selatan.,other
Thomas lalu memiliki ide untuk menerbitkan koran pertama di atas kereta api yang berguna untuk memenuhi kebutuhan orang akan informasi.,nama
Ia membeli sebuah alat cetak tua seharga US$12  dan membuat koran sendiri bernama Weekly Herald.,other
Korannya laku  ia pun mengantongi US$400 dalam sehari.,other
Saat berusia 15 tahun  Thomas Alva Edison telah menguasai prinsip dasar pekerjaannya setelah diterima bekerja sebagai satu dari seribu operator telegraf yang bertugas mengirimkan berita bisnis ke seluruh perusahaan terkemuka yang ada di New York.,other
Saat itulah ia memiliki kesempatan untuk  mengembangkan  memperbaiki kecepatan  dan efisiensinya dalam mengirim dan menerima kode morse serta mempraktekan alat percobaannya yang didisain untuk memperbaiki alat tersebut.,other
Pada saat berusia 16 tahun  setelah ia bekerja di berbagai kantor telegraf  sampailah ia pada penemuan pertamanya yang disebut dengan pengulang otomatis (automatic repeater) yang dapat menghantarkan sinyal diantara stasiun yang kosong.,other
Sehingga memungkinkan orang dengan mudah dan akurat menerjemahkan kode morse tanpa ada gangguan.,other
Thomas pernah dua kali menikah.,nama
Pertama  pada tahun 1871 dengan seorang wanita bernama Mary Stilwell dan berakhir pada 1884  dan yang kedua bersama Mina Miller mulai 1886 hinga akhir hidupnya.,other
Ia dikaruniai 6 anak yakni Marion Estelle Edison (1873-1965)  Thomas Alva Edison Jr. (1876-1935)  William Leslie Edison (1878-1937)  Madeleine Edison (1888-1979)  Charles Edison (1890-1969)  dan Theodore Miller Edison (1898-1992).,other
Baca juga : .,other
Pada tahun 1870 ia menemukan mesin telegraf yang lebih baik dari mesin telegraf sebelumnya.,other
Mesin-mesinnya dapat mencetak pesan-pesan di atas pita kertas yang panjang.,other
Uang yang dihasilkan dari penemuannya itu cukup untuk mendirikan perusahaan sendiri.,other
Pada tahun 1874 ia pindah ke Menlo Park  New Jersey.,other
Disana ia membuat sebuah bengkel ilmiah yang besar dan yang pertama di dunia.,other
Setelah itu ia banyak melakukan penemuan-penemuan yang penting.,other
Pada Tahun 1877 ia menemukan phonograph.,other
Pada tahun ini Thomas menyadari bahwa pentingnya sumber cahaya bagi kehidupan umat manusia  kemudia ia menyibukkan diri dengan masalah yang pada waktu itu menjadi perhatian banyak peneliti: lampu pijar.,nama
Oleh karena itu Edison menngerahkan seluruh tenaga dan waktunya  serta menghabiskan uang sebanyak 40.000 dollar dalam kurun waktu dua tahun untuk percobaan membuat lampu pijar.,nama
Total ada sekitar 6000 bahan yang dihabiskan untuk membuat lampu pijar  sebelum akhirnya menemukan lampu pijar listrik pertama yang mampu menyala 40 jam pada 21 Oktober 1879.,other
Tidah hanya itu  pada tahun yang sama Thomas juga menemukan proyektor untuk film-film kecil.,other
Tahun 1882  untuk pertama kalinya Thomas memasang lampu listrik di jalan dan rumah-rumah sejauh satu kilometer di New York.,nama
Pada tahun 1890  ia mendirikan perusahaan General Electric.,other
Thomas disebut sebagai salah seorang pencipta paling produktif pada masanya  memegang rekor 1.093 paten atas namanya.,nama
Sebagian besar penemuannya tidaklah original  namun merupakan pengembangan  dan perbaikan atas penemuannya terdahulu.,other
Ia juga banyak membantu dalam bidang pertahanan pemerintahan Amerika Serikat.,other
Beberapa penelitiannya antara lain : mendeteksi pesawat terbang  menghancurkan periskop dengan senjata mesin  mendeteksi kapal selam  menghentikan torpedo dengan jaring  menaikkan kekuatan torpedo  kapal kamuflase  dan lain-lain.,other
Baca juga : .,other
Jenius adalah 1 persen dari inspirasi dan 99 persen keringat.,other
Aku tidak gagal.,other
Aku hanya menemukan 10.000 cara yang tidak bekerja.,other
Saya tidak patah semangat  karena setiap usaha yang salah adalah satu langkah maju.,other
Pecundang adalah orang yang menyerah dan tidak sadar kalau mereka sudah hampir meraih kesuksesan sebelum menyerah.,other
Kebanyakan kegagalan hidup berasal dari orang yang tidak menyadari betapa sudah dekatnya mereka pada kesuksesan saat mereka memutuskan untuk menyerah.,other
Keberuntungan adalah sesuatu yang terjadi ketika kesempatan bertemu dengan kesiapan.,other
Thomas Alva Edison meninggal pada 18 Oktober 1931 pada umur 84 tahun.,nama
Namanya terus dikenang sebagai penemu paling produktif di masanya.,other
Ada 1.093 hak paten atas namanya.,other
Ia meninggal pada usianya yang ke-84  pada hari ulang tahun penemuannya yang fenomal  yaitu lampu pijar.,other
Pada tahun 1928 ia menerima penghargaan berupa sebuah medali khusus dari Kongres Amerika Serikat.,other
Post under : ### Entri Populer Cloud Categories Social Media Copyright � 2018 ?,other
Biografi Chairul Tanjung Si Anak Singkong - Biografi Tokoh Dunia Lengkap.,nama
Biografi Chairul Tanjung Si Anak Singkong.,nama
Biografi Chairul Tanjung Si Anak Singkong.,nama
Chairul Tanjung adalah pengusaha sukses di Indonesia.,nama
Ia merupakan pengusaha suskes sekaligus CEO utama di CT Corp. �Namanya berada di urutan ke-937 dari 1000 orang terkaya di dunia versi majalah Forbes dengan total kekayaan senilai USD 1 miliar.,other
Tahun 2014  ia memiliki kekayaan sebesar USD 4 miliar dan termasuk orang terkaya nomor 375 dunia.,other
Chairul Tanjung lahir di Jakarta pada tanggal 16 juni 1962.,ttl
Ayahnya bernama Abdul Ghafar Tanjung  berasal dari Sibolga  Sumatera Utara  merupakan seorang wartawan pada orde lama yang menerbitkan surat kabar beroplah kecil.,other
Ibunya bernama Halimah  seorang wanita keturunan Cibadak  Jawa Barat.,other
Chairul Tanjung berada dalam keluarga yang sederhana dan tinggal bersama dengan enam saudara lainnya.,nama
Ketika pada masa orde baru  ayahnya dipaksa tutup karena bersebrangan secara politik dengan penguasa saat itu.,other
Keadaan ini yang membuat mereka tinggal di kamar losmen yang sempit.,other
Chaerul Tanjung bersekolah di SD Van Lith  Jakarta pada tahun 1975.,pendidikan
Kemudian melanjutkan sekolahnya di SMP Van Lith  Jakarta tahun 1978  kemudian melanjutkan ke jenjang yang lebih tinggi di SMA Negeri 1 Boedi oetomo  Jakarta tahun 1981  lalu melanjutkan study-nya di Fakultas Kedokteran Gigi  Universitas Indonesia pada tahun 1987  kemudian di Executive IPPM tahun 1993.,pendidikan
Untuk memenuhi kebutuhan kuliah  Chairul Tanjung berjualan buku kuliah stensilan  kaos  dan jasa foto kopi di kampus.,other
Ia juga pernah mendirikan tokoh yang menjual peralatan khusus kedokteran dan laboratorium di bilangan Senen  Jakarta Pusat  namun tokonya tersebut bangkrut.,other
Chairul Tanjung merupakan anak yang teladan dengan bukti ia berhasil mendapatkan penghargaan sebagai Mahasiswa Teladan Tingkat Nasional pada tahun 1984-1985.,other
Baca juga: .,other
Setelah lulus kuliah  Chaerul Tanjung bersama tiga rekannya mendirikan sebuah perusahaan yang diberi nama PT Pariarti Shindutama pada tahun 1987.,other
